rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
1;Walmart;1;500343;3;9862;-27,7;204522;263563;2300000;C. Douglas McMillon;President, Chief Executive Officer &  Director;Retailing;General Merchandisers;24;Bentonville;AR;36.3728538;-94.2088172
2;Exxon Mobil;4;244363;17,4;19710;151,4;348691;316157;712;Darren W. Woods;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;24;Irving;TX;32.8140177;-96.9488945
3;Berkshire Hathaway;2;242137;8,3;44940;86,7;702095;492008;377;Warren E. Buffett;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);24;Omaha;NE;41.2565369;-95.9345034
4;Apple;3;229234;6,3;48351;5,8;375319;851318;123;Timothy D. Cook;Chairman &  Chief Executive Officer;Technology;Computers, Office Equipment;24;Cupertino;CA;37.3229978;-122.0321823
5;UnitedHealth Group;6;201159;8,8;10558;50,5;139058;20708;260;David S. Wichmann;Chairman &  Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;24;Minnetonka;MN;44.9211836;-93.4687489
6;McKesson;5;198533;3,1;5070;124,5;60969;29067;645;John H. Hammergren;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;24;SF;CA;37.7749295;-122.4194155
7;CVS Health;7;184765;4,1;6622;24,5;95131;63114;203;Larry J. Merlo;President, Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;24;Woonsocket;RI;42.0028761;-71.5147839
8;Amazon.com;12;177866;30,8;3033;27,9;13131;700668;566;Jeffrey P. Bezos;Chairman, President &  Chief Executive Officer;Retailing;Internet Services and Retailing;17;Seattle;WA;47.6062095;-122.3320708
9;AT&T;9;160546;-2;29450;127;444097;218946;254;Randall L. Stephenson;Chairman, President &  Chief Executive Officer;Telecommunications;Telecommunications;24;Dallas;TX;32.7766642;-96.7969879
10;General Motors;8;157311;-5,5;-3864;-141;212482;50972;180;Mary T. Barra;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Detroit;MI;42.331427;-83.0457538
11;Ford Motor;10;156776;3,3;7602;65,4;257808;44244;202;James P. Hackett;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Dearborn;MI;42.3222599;-83.1763145
12;AmerisourceBergen;11;153144;4,3;364,5;-74,5;35317;18938;195;Steven H. Collis;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;24;Chesterbrook;PA;40.0756627;-75.4590816
13;Chevron;19;134533;25,1;9195;0;253806;217845;519;Michael K. Wirth;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;24;San Ramon;CA;37.7799273;-121.9780153
14;Cardinal Health;15;129976;6,9;1288;-9,7;40112;19726;404;Michael C. Kaufmann;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;24;Dublin;OH;40.0992294;-83.1140771
15;Costco;16;129025;8,7;2679;14;36347;82687;182;W. Craig Jelinek;President, Chief Executive Officer &  Director;Retailing;General Merchandisers;24;Issaquah;WA;47.5301011;-122.0326191
16;Verizon;14;126034;0;30101;129,3;257143;197497;1554;Lowell C. McAdam;Chairman &  Chief Executive Officer;Telecommunications;Telecommunications;24;New York;NY;40.7127753;-74.0059728
17;Kroger;18;122662;6,4;1907;-3,4;37197;20828;449;W. Rodney McMullen;Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;24;Cincinnati;OH;39.1031182;-84.5120196
18;General Electric;13;122274;-3,5;-5786;-165,5;377945;117054;313;John L. Flannery Jr.;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;24;Boston;MA;42.3600825;-71.0588801
19;Walgreens Boots Alliance;17;118214;0,7;4078;-2,3;66009;64924;290;Stefano Pessina;Vice Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;24;Deerfield;IL;42.1711365;-87.8445119
20;JPMorgan Chase;21;113899;8;24441;-1,2;2533600;375043;252539;James Dimon;Chairman &  Chief Executive Officer;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728
21;Fannie Mae;20;112394;4,9;2463;-80;3345529;1633;72;Timothy J. Mayopoulos;President, Chief Executive Officer &  Director;Financials;Diversified Financials;21;Leavenworth;WA;47.7510741;-120.7401385
22;Alphabet;27;110855;22,8;12662;-35;197295;719124;8011;Larry Page;Chief Executive Officer &  Director;Technology;Internet Services and Retailing;13;Mountain View;CA;37.3860517;-122.0838511
23;Home Depot;23;100904;6,7;8630;8,5;44529;206272;413;Craig A. Menear;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Other;24;Atlanta;GA;33.7489954;-84.3879824
24;Bank of America Corp.;26;100264;7;18232;1,8;2281234;306618;209376;Brian T. Moynihan;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;24;Charlotte;NC;35.2270869;-80.8431267
25;Express Scripts Holding;22;100065;-0,2;4517,4;32,7;54256;38791;266;Timothy C. Wentworth;President, Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;19;St. Louis;MO;38.6270025;-90.1994042
26;Wells Fargo;25;97741;3,8;22183;1,1;1951757;255556;2627;Timothy J. Sloan;President, Chief Executive Officer &  Director;Financials;Commercial Banks;24;SF;CA;37.7749295;-122.4194155
27;Boeing;24;93392;-1,2;8197;67,5;92333;192539;1408;Dennis A. Muilenburg;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Chicago;IL;41.8781136;-87.6297982
28;Phillips 66;34;91568;26,5;5106;228,4;54371;4473;146;Greg C. Garland;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;6;Houston;TX;29.7604267;-95.3698028
29;Anthem;29;9004;6,1;3842,8;55,6;7054;56182;56;Gail K. Boudreaux;President, Chief Executive Officer &  Director;Health Care;Health Care: Insurance and Managed Care;24;Indianapolis;IN;39.768403;-86.158068
30;Microsoft;28;8995;5,4;21204;26,2;241086;70276;124;Satya Nadella;Chief Executive Officer &  Director;Technology;Computer Software;24;Redmond;WA;47.6739881;-122.121512
31;Valero Energy;37;88407;26;4065;77,6;50158;39977;10015;Joseph W. Gorder;Chairman, President &  Chief Executive Officer;Energy;Petroleum Refining;20;San Antonio;TX;29.4241219;-98.4936282
32;Citigroup;30;87966;6,8;-6798;-145,6;1842465;172822;209;Michael L. Corbat;Chairman &  Chief Executive Officer;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728
33;Comcast;31;84526;5,1;22714;161,2;186949;158703;164;Brian L. Roberts;Chairman, President &  Chief Executive Officer;Telecommunications;Telecommunications;23;Philadelphia;PA;39.9525839;-75.1652215
34;IBM;32;79139;-1;5753;-51,5;125356;141335;3978;Virginia M. Rometty;Chairman, President &  Chief Executive Officer;Technology;Information Technology Services;24;Armonk;NY;41.1264849;-73.7140195
35;Dell Technologies;41;7866;21,4;-3728;0;122281;0;145;Michael S. Dell;Chairman &  Chief Executive Officer;Technology;Computers, Office Equipment;21;Round Rock;TX;30.5082551;-97.678896
36;State Farm Insurance Cos.;33;78331;2,9;2206,5;529,9;272345;0;65664;Michael L. Tipsord;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);24;Bloomington;IL;40.4842027;-88.9936873
37;Johnson & Johnson;35;7645;6,3;1300;-92,1;157303;34378;134;Alex Gorsky;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;24;New Brunswick;NJ;40.4862157;-74.4518188
38;Freddie Mac;39;74676;13,7;5625;-28;2049776;878;6165;Donald H. Layton;Chairman &  Chief Executive Officer;Financials;Diversified Financials;21;McLean;VA;38.9338676;-77.1772604
39;Target;38;71879;3,4;2934;7,2;38999;37409;345;Brian C. Cornell;Chairman &  Chief Executive Officer;Retailing;General Merchandisers;24;Minneapolis;MN;44.977753;-93.2650108
40;Lowes;40;68619;5,5;3447;11,4;35291;72812;255;Robert A. Niblock;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Other;24;Mooresville;NC;35.5848596;-80.8100724
41;Marathon Petroleum;51;6761;21;3432;192,3;49047;34683;438;Gary R. Heminger;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;7;Findlay;OH;41.04422;-83.6499321
42;Procter & Gamble;36;66217;-7,7;15326;45,9;120406;199865;95;David S. Taylor;Chairman, President &  Chief Executive Officer;Household Products;Household and Personal Products;24;Cincinnati;OH;39.1031182;-84.5120196
43;MetLife;42;66153;4,2;4010;401,3;719892;47572;49;Steven A. Kandarian;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);24;New York;NY;40.7127753;-74.0059728
44;UPS;46;65872;8,2;4910;43,1;45403;90156;346415;David P. Abney;Chairman &  Chief Executive Officer;Transportation;Mail, Package, and Freight Delivery;24;Atlanta;GA;33.7489954;-84.3879824
45;PepsiCo;44;63525;1,2;4857;-23,3;79804;154933;263;Indra K. Nooyi;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;24;Harrison;NY;41.0400135;-73.7144477
46;Intel;47;62761;5,7;9601;-6,9;123249;243109;1027;Robert H. Swan;Chairman &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;24;Santa Clara;CA;37.3541079;-121.9552356
47;DowDuPont;62;62683;30,2;1460;-66,2;192164;148186;98000;Edward D. Breen;Chief Executive Officer;Chemicals;Chemicals;24;Midland;Michigan;43.623574;-84.232105
48;Archer Daniels Midland;45;60828;-2,4;1595;24,7;39963;24238;313;Juan R. Luciano;Chairman, President &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Production;24;Chicago;IL;41.8781136;-87.6297982
49;Aetna;43;60535;-4,1;1904;-16,2;55151;55229;4795;Mark T. Bertolini;Chairman &  Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;18;Hartford;CT;41.7658043;-72.6733723
50;FedEx;58;60319;19,8;2997;64,7;48552;64161;357;Frederick W. Smith;Chairman &  Chief Executive Officer;Transportation;Mail, Package, and Freight Delivery;24;Memphis;TN;35.1495343;-90.0489801
51;United Technologies;50;59837;4,5;4552;-10;9692;100667;2047;Gregory J. Hayes;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Farmington;CT;41.7360305;-72.795027
52;Prudential Financial;48;59689;1,5;7863;80;831921;43686;49705;John R. Strangfeld;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);24;Newark;NJ;40.735657;-74.1723667
53;Albertsons Cos.;49;59678;1,6;-373,3;0;23755;0;273;Robert G. Miller;Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;14;Boise;ID;43.6150186;-116.2023137
54;Sysco;57;55371;9,9;1142,5;20,3;17757;31294;665;Thomas L. Ben?;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Food and Grocery;24;Houston;TX;29.7604267;-95.3698028
55;Disney;52;55137;-0,9;8980;-4,4;95789;151029;199;Robert A. Iger;Chairman &  Chief Executive Officer;Media;Entertainment;24;Burbank;CA;34.1808392;-118.3089661
56;Humana;53;53767;-1,1;2448;298,7;27178;37122;459;Bruce D. Broussard;President, Chief Executive Officer &  Director;Health Care;Health Care: Insurance and Managed Care;24;Louisville;KY;38.2526647;-85.7584557
57;Pfizer;54;52546;-0,5;21308;195,3;171797;211115;902;Ian C. Read;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;24;New York;NY;40.7127753;-74.0059728
58;HP;61;52056;7,9;2526;1,2;32913;35893;49;Dion J. Weisler;President, Chief Executive Officer &  Director;Technology;Computers, Office Equipment;24;Palo Alto;CA;37.4418834;-122.1430195
59;Lockheed Martin;56;51048;0,8;2002;-62,2;46521;96589;100;Marillyn A. Hewson;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Bethesda;MD;38.984652;-77.0947092
60;AIG;55;4952;-5,4;-6084;0;498301;49145;498;Brian Duperreault;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);24;New York;NY;40.7127753;-74.0059728
61;Centene;66;48572;19,3;828;47,3;21855;18704;337;Michael F. Neidorff;Chairman &  Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;9;St. Louis;MO;38.6270025;-90.1994042
62;Cisco Systems;60;48005;-2,5;9609;-10,5;129818;206623;729;Charles H. Robbins;Chairman &  Chief Executive Officer;Technology;Network and Other Communications Equipment;22;San Jose;CA;37.3382082;-121.8863286
63;HCA Healthcare;63;47653;6,5;2216;-23,3;36593;34165;221491;R. Milton Johnson;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;24;Nashville;TN;36.1626638;-86.7816016
64;Energy Transfer Equity;79;47487;26,6;954;-4,1;86246;15335;29486;John W. McReynolds;President &  Director;Energy;Pipelines;12;Dallas;TX;32.7766642;-96.7969879
65;Caterpillar;74;45462;18;754;0;76962;88078;984;D. James Umpleby III;Chairman &  Chief Executive Officer;Industrials;Construction and Farm Machinery;24;Deerfield;IL;42.1711365;-87.8445119
66;Nationwide;68;4394;9,6;246,5;-26,2;221257;0;33135;Stephen S. Rasmussen;Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);24;Columbus;OH;39.9611755;-82.9987942
67;Morgan Stanley;76;43642;15;6111;2,2;851733;96688;57633;James P. Gorman;Chairman &  Chief Executive Officer;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728
68;Liberty Mutual Insurance Group;75;42687;11,4;17;-98,3;142502;0;50;David H. Long;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);24;Boston;MA;42.3600825;-71.0588801
69;New York Life Insurance;65;42296;3,7;1866,9;71,6;303183;0;11114;Theodore A. Mathas;Chairman &  Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);24;New York;NY;40.7127753;-74.0059728
70;Goldman Sachs Group;78;42254;12;4286;-42,1;916776;95463;366;Lloyd C. Blankfein;Chairman &  Chief Executive Officer;Financials;Commercial Banks;19;New York;NY;40.7127753;-74.0059728
71;American Airlines Group;67;42207;5;1919;-28,3;51396;24584;1266;W. Douglas Parker;Chairman &  Chief Executive Officer;Transportation;Airlines;24;Fort Worth;TX;32.7554883;-97.3307658
72;Best Buy;72;42151;7;1000;-18,6;13049;2046;125;Hubert B. Joly;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;24;Richfield;MN;44.8832982;-93.2830021
73;Cigna;70;41616;4,9;2237;19,8;61753;40735;46;David M. Cordani;President, Chief Executive Officer &  Director;Health Care;Health Care: Insurance and Managed Care;24;Bloomfield;CT;41.826488;-72.7300945
74;Charter Communications;96;41581;43,4;9895;180,9;146623;80954;948;Thomas M. Rutledge;Chairman &  Chief Executive Officer;Telecommunications;Telecommunications;18;Stamford;CT;41.0534302;-73.5387341
75;Delta Air Lines;71;41244;4;3577;-18,2;53292;38746;86564;Edward H. Bastian;Chairman &  Chief Executive Officer;Transportation;Airlines;24;Atlanta;GA;33.7489954;-84.3879824
76;Facebook;98;40653;47,1;15934;56;84524;46419;25105;Mark Zuckerberg;Chairman &  Chief Executive Officer;Technology;Internet Services and Retailing;6;Menlo Park;CA;37.4529598;-122.1817252
77;Honeywell International;73;40534;3,1;1655;-65,6;59387;108149;131;Darius Adamczyk;President, Chief Executive Officer &  Director;Industrials;Electronics, Electrical Equip.;24;Morris Plains;NJ;40.8395922;-74.4818698
78;Merck;69;40122;0,8;2394;-38,9;87872;146862;69;Kenneth C. Frazier;Chairman, President &  Chief Executive Officer;Health Care;Pharmaceuticals;24;Kenilworth;NJ;40.6764911;-74.2907032
79;Allstate;84;38524;5,4;3189;69,9;112422;33478;4268;Thomas J. Wilson;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);23;Northbrook;IL;42.1275267;-87.8289548
80;Tyson Foods;82;3826;3,7;1774;0,3;28066;29233;122;Thomas P. Hayes;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Production;24;Springdale;AR;36.1867442;-94.1288141
81;United Continental Holdings;83;37736;3,2;2131;-5,8;42326;19778;898;Oscar Munoz;Chairman &  Chief Executive Officer;Transportation;Airlines;24;Chicago;IL;41.8781136;-87.6297982
82;Oracle;81;37728;1,8;9335;4,9;134991;186766;138;Safra A. Catz/Mark V. Hurd;Co-Chief Executive Officer &  Director;Technology;Computer Software;23;Redwood City;CA;37.4852152;-122.2363548
83;Tech Data;107;36775;40,2;116,6;-40,2;12653;3249;14;Richard T. Hume;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;24;Clearwater;FL;27.9658533;-82.8001026
84;TIAA;80;36025;-2,9;1049,7;-29,7;583632;0;16829;Roger W. Ferguson Jr.;President, Chief Executive Officer &  Director;Financials;Insurance: Life, Health (Mutual);21;New York;NY;40.7127753;-74.0059728
85;TJX;87;35865;8,1;2607,9;13,5;14058;51571;249;Ernie L. Herrman;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Apparel;24;Framingham;MA;42.279286;-71.4161565
86;American Express;86;35583;5,2;2736;-49,4;181159;80234;55;Stephen J. Squeri;Chairman &  Chief Executive Officer;Financials;Diversified Financials;24;New York;NY;40.7127753;-74.0059728
87;Coca-Cola;64;3541;-15,4;1248;-80,9;87896;185207;618;James R. Quincey;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Beverages;24;Atlanta;GA;33.7489954;-84.3879824
88;Publix Super Markets;85;34837;1,6;2291,9;13,1;18184;0;193;Randall T. Jones Sr.;President, Chief Executive Officer &  Director;Food &  Drug Stores;Food and Drug Stores;24;Lakeland;FL;28.0394654;-81.9498042
89;Nike;88;3435;6,1;4240;12,8;23259;108094;744;Mark G. Parker;Chairman, President &  Chief Executive Officer;Apparel;Apparel;24;Beaverton;OR;45.4887993;-122.8013332
90;Andeavor;117;34204;42,5;1528;108,2;28573;15386;14300;Gregory J. Goff;Chairman, President &  Chief Executive Officer;Energy;Petroleum Refining;19;San Antonio;TX;29.4241219;-98.4936282
91;World Fuel Services;103;33696;24,7;-170,2;-234,5;5588;1661;5;Michael J. Kasbar;Chairman &  Chief Executive Officer;Energy;Energy;14;Miami;FL;25.7616798;-80.1917902
92;Exelon;89;33531;6,9;3770;232,5;1167;37644;34621;Christopher M. Crane;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;24;Chicago;IL;41.8781136;-87.6297982
93;Massachusetts Mutual Life Insurance;77;33495;-11,4;513;-59,7;288855;0;11811;Roger W. Crandall;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);24;Springfield;MA;42.1014831;-72.589811
94;Rite Aid;91;32845;6,9;4,1;-97,6;11594;1793;7043;John T. Standley;Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;24;Camp Hill;PA;40.2398118;-76.9199742
95;ConocoPhillips;115;32584;33,8;-855;0;73362;69641;114;Ryan M. Lance;Chairman &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;24;Houston;TX;29.7604267;-95.3698028
96;CHS;93;31935;5,2;127,9;-69,9;15974;0;11626;Jay D. Debertin;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Production;19;Inver Grove Heights;MN;44.8480218;-93.0427153
97;3M;94;31657;5,1;4858;-3,8;37987;13055;91536;Inge G. Thulin;Chairman, President &  Chief Executive Officer;Industrials;Miscellaneous;24;St Paul;MN;44.9537029;-93.0899578
98;Time Warner;95;31271;6,7;5247;33,6;69209;73758;26;John Stankey;Chairman &  Chief Executive Officer;Media;Entertainment;19;New York;NY;40.7127753;-74.0059728
99;General Dynamics;90;30973;-1,2;2912;-1,5;35046;65845;986;Phebe N. Novakovic;Chairman &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Falls Church;VA;38.882334;-77.1710914
100;USAA;102;30016;10,6;2421,9;36,1;155391;0;32705;Stuart Parker;Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);24;San Antonio;TX;29.4241219;-98.4936282
101;Capital One Financial;100;29999;9;1982;-47,2;365693;46584;493;Richard D. Fairbank;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;19;McLean;VA;38.9338676;-77.1772604
102;Deere;105;29738;11,6;2159,1;41,7;65786;50291;60476;Samuel R. Allen;Chairman, President &  Chief Executive Officer;Industrials;Construction and Farm Machinery;24;Moline;IL;41.5067003;-90.5151342
103;INTL FCStone;189;29424;99,4;6,4;-88,3;6243;804;1607;Sean M. O'Connor;President, Chief Executive Officer &  Director;Financials;Diversified Financials;10;New York;NY;40.7127753;-74.0059728
104;Northwestern Mutual;97;29331;1,8;1017;24,3;265049;0;5437;John E. Schlifske;Chairman &  Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);24;Milwaukee;WI;43.0389025;-87.9064736
105;Enterprise Products Partners;122;29242;27;2799,3;11,4;54418;52904;7;A. James Teague;Chairman &  Chief Executive Officer;Energy;Pipelines;13;Houston;TX;29.7604267;-95.3698028
106;Travelers Cos.;99;28902;4,6;2056;-31,8;103483;37691;308;Alan D. Schnitzer;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);24;New York;NY;40.7127753;-74.0059728
107;Hewlett Packard Enterprise;59;28871;-42,4;344;-89,1;61406;27243;66;Antonio Neri;President, Chief Executive Officer &  Director;Technology;Computers, Office Equipment;2;Palo Alto;CA;37.4418834;-122.1430195
108;Philip Morris International;104;28748;7,7;6035;-13,4;42968;154514;806;Andr? Calantzopoulos;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Tobacco;10;New York;NY;40.7127753;-74.0059728
109;Twenty-First Century Fox;101;285;4,3;2952;7,2;50724;67969;217;James R. Murdoch;Chief Executive Officer &  Director;Media;Entertainment;14;New York;NY;40.7127753;-74.0059728
110;AbbVie;111;28216;10,1;5309;-10,8;70786;15018;29;Richard A. Gonzalez;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;5;North Chicago;IL;42.325578;-87.8411818
111;Abbott Laboratories;135;2739;31,3;477;-65,9;7625;10464;99;Miles D. White;Chairman &  Chief Executive Officer;Health Care;Medical Products and Equipment;24;Lake Bluff;IL;42.304505;-87.8960712
112;Progressive;120;26839;14,5;1592,2;54,4;38701;35478;33656;Susan Patricia Griffith;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);24;Mayfield;OH;41.5519952;-81.4392828
113;Arrow Electronics;118;26813;12,5;402;-23,1;16463;675;188;Michael J. Long;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;24;Centennial;CO;39.5807452;-104.8771726
114;Kraft Heinz;106;26232;-1;10999;202,8;120232;7592;39;Bernardo Hees;Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;24;Pittsburgh;PA;40.4406248;-79.9958864
115;Plains GP Holdings;141;26223;29,9;-731;-877,7;26753;6328;485;Greg L. Armstrong;Chairman &  Chief Executive Officer;Energy;Pipelines;5;Houston;TX;29.7604267;-95.3698028
116;Gilead Sciences;92;26107;-14,1;4628;-65,7;70283;98298;10;John F. Milligan IV;President, Chief Executive Officer &  Director;Health Care;Pharmaceuticals;10;San Mateo;CA;37.5585465;-122.2710788
117;Mondelez International;109;25896;-0,1;2922;76,1;63109;62066;83;Dirk Van de Put;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;11;Deerfield;IL;42.1711365;-87.8445119
118;Northrop Grumman;114;25803;5,3;2015;-8,4;34917;60778;70;Wesley G. Bush;Chairman &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Falls Church;VA;38.882334;-77.1710914
119;Raytheon;116;25348;5,3;2024;-8,5;3086;62265;64;Thomas A. Kennedy;Chairman &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Waltham;MA;42.3764852;-71.2356113
120;Macys;110;24837;-3,7;1547;149,9;19381;9065;130;Jeffrey Gennette;Chairman &  Chief Executive Officer;Retailing;General Merchandisers;24;Cincinnati;OH;39.1031182;-84.5120196
121;US Foods Holding;124;24147;5,4;444,3;111,8;9037;7065;25204;Pietro Satriano;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Food and Grocery;7;Rosemont;IL;41.9867507;-87.8721602
122;U.S. Bancorp;125;23996;5,5;6218;5,6;46204;83367;72402;Andrew J. Cecere;President, Chief Executive Officer &  Director;Financials;Commercial Banks;20;Minneapolis;MN;44.977753;-93.2650108
123;Dollar General;128;23471;6,8;1539;23;12517;25141;129;Todd J. Vasos;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;20;Goodlettsville;TN;36.3231066;-86.7133302
124;International Paper;133;23302;10,5;2144;137,2;33903;22063;56;Mark S. Sutton;Chairman &  Chief Executive Officer;Materials;Packaging, Containers;24;Memphis;TN;35.1495343;-90.0489801
125;Duke Energy;121;23189;-0,8;3059;42,1;137914;54276;2906;Lynn J. Good;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;Charlotte;NC;35.2270869;-80.8431267
126;Southern;145;23031;15,8;842;-65,6;111005;45024;31344;Thomas A. Fanning;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;Atlanta;GA;33.7489954;-84.3879824
127;Marriott International;163;22894;34,1;1372;75,9;23948;48531;177;Arne M. Sorenson;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;20;Bethesda;MD;38.984652;-77.0947092
128;Avnet;108;22872;-12,8;525,3;3,7;97;5009;157;William J. Amelio;Chief Executive Officer &  Director;Wholesalers;Wholesalers: Electronics and Office Equipment;24;Phoenix;AZ;33.4483771;-112.0740373
129;Eli Lilly;132;22871;7,8;-204,1;-107,5;44981;84542;40655;David A. Ricks;Chairman, President &  Chief Executive Officer;Health Care;Pharmaceuticals;24;Indianapolis;IN;39.768403;-86.158068
130;Amgen;123;22849;-0,6;1979;-74,4;79954;122842;208;Robert A. Bradway;Chairman, President &  Chief Executive Officer;Health Care;Pharmaceuticals;19;Thousand Oaks;CA;34.1705609;-118.8375937
131;McDonalds;112;2282;-7,3;5192,3;10,8;33804;124244;235;Stephen J. Easterbrook;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Food Services;24;Oak Brook;IL;41.8397865;-87.9535534
132;Starbucks;131;22387;5;2884,7;2,4;14366;8137;277;Keven R. Johnson;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Food Services;16;Seattle;WA;47.6062095;-122.3320708
133;Qualcomm;119;22291;-5,4;2466;-56,8;65486;82027;338;Steven M. Mollenkopf;Chairman &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;19;San Diego;CA;32.715738;-117.1610838
134;Dollar Tree;136;22246;7,4;1714,3;91,3;16333;22523;1162;Gary M. Philbin;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;10;Chesapeake;VA;36.7682088;-76.2874927
135;PBF Energy;172;21787;36,8;415,5;143,3;8118;3752;3165;Thomas J. Nimbley;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;6;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877
136;Icahn Enterprises;168;21744;33;2430;0;31801;9901;89034;Keith Cozza;President, Chief Executive Officer &  Director;Financials;Diversified Financials;10;New York;NY;40.7127753;-74.0059728
137;Aflac;126;21667;-4;4604;73,1;137217;34038;11318;Daniel P. Amos;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);24;Columbus;GA;32.4609764;-84.9877094
138;AutoNation;129;21535;-0,3;434,6;1;10272;4296;26;Michael J. Jackson;Chairman, President &  Chief Executive Officer;Retailing;Automotive Retailing, Services;21;Fort Lauderdale;FL;26.1224386;-80.1373174
